nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
BROWN FORMAN CORP	CL B	115637209	3055	64160 SH	SOLE	64160 0 0	N/A
BRUNSWICK CORP	COM	117043109	216	4646 SH	SOLE	4646 0 0	N/A
BT GROUP PLC	ADR	05577E101	7767	510680 SH	SOLE	510680 0 0	N/A
BUCKEYE PARTNERS L P	UNIT LTD PARTN	118230101	1626	56219 SH	SOLE	56219 0 0	N/A
BUNGE LIMITED	COM	G16962105	791	14814 SH	SOLE	14814 0 0	N/A
BURLINGTON STORES INC	COM	122017106	738	4545 SH	SOLE	4545 0 0	N/A
C & F FINL CORP	COM	12466Q104	386	7261 SH	SOLE	7261 0 0	N/A
C H ROBINSON WORLDWIDE INC	COM NEW	12541W209	2521	29945 SH	SOLE	29945 0 0	N/A
CABOT CORP	COM	127055101	373	8673 SH	SOLE	8673 0 0	N/A
CADENCE DESIGN SYSTEM INC	COM	127387108	6327	145509 SH	SOLE	145509 0 0	N/A
CADIZ INC	COM NEW	127537207	135	13078 SH	SOLE	13078 0 0	N/A
CAESARS ENTMT CORP	COM	127686103	158	23420 SH	SOLE	23420 0 0	N/A
CALAMOS CONV OPP AND INC FD	SH BEN INT	128117108	671	75597 SH	SOLE	75597 0 0	N/A
CALAMOS STRATEGIC TOTL RETN	COM SH BEN INT	128125101	1171	110662 SH	SOLE	110662 0 0	N/A
CALIFORNIA WTR SVC GROUP	COM	130788102	257	5400 SH	SOLE	5400 0 0	N/A
CALLON PETE CO DEL	COM	13123X102	376	59146 SH	SOLE	59146 0 0	N/A
CALYXT INC	COM	13173L107	320	30944 SH	SOLE	30944 0 0	N/A
CAMDEN NATL CORP	COM	133034108	621	17263 SH	SOLE	17263 0 0	N/A
CAMECO CORP	COM	13321L108	580	51075 SH	SOLE	51075 0 0	N/A
CAMPBELL SOUP CO	COM	134429109	424	12880 SH	SOLE	12880 0 0	N/A
CAMPBELL SOUP CO	COM	134429109	0	3500 SH	SOLE	3500 0 0	Call
CAMTEK LTD	ORD	M20791105	78	11530 SH	SOLE	11530 0 0	N/A
CANADIAN NAT RES LTD	COM	136385101	1470	60841 SH	SOLE	60841 0 0	N/A
CANADIAN NATL RY CO	COM	136375102	3144	42516 SH	SOLE	42516 0 0	N/A
CANADIAN PAC RY LTD	COM	13645T100	5029	28331 SH	SOLE	28331 0 0	N/A
CANOPY GROWTH CORP	COM	138035100	3	3000 SH	SOLE	3000 0 0	Call
CANOPY GROWTH CORP	COM	138035100	991	36703 SH	SOLE	36703 0 0	N/A
CAPITAL ONE FINL CORP	COM	14040H105	4897	64795 SH	SOLE	64795 0 0	N/A
CAPSTEAD MTG CORP	COM NO PAR	14067E506	103	15382 SH	SOLE	15382 0 0	N/A
CAPSTONE TURBINE CORP	COM NEW	14067D409	7	11236 SH	SOLE	11236 0 0	N/A
CARDINAL HEALTH INC	COM	14149Y108	2374	53437 SH	SOLE	53437 0 0	N/A
CARE COM INC	COM	141633107	208	10788 SH	SOLE	10788 0 0	N/A
CARLISLE COS INC	COM	142339100	3261	32470 SH	SOLE	32470 0 0	N/A
CARLYLE GROUP L P	COM UTS LTD PTN	14309L102	464	29387 SH	SOLE	29387 0 0	N/A
CARMAX INC	COM	143130102	236	3716 SH	SOLE	3716 0 0	N/A
CARNIVAL CORP	UNIT 99/99/9999	143658300	2414	48817 SH	SOLE	48817 0 0	N/A
CAS MED SYS INC	COM PAR	124769209	385	240889 SH	SOLE	240889 0 0	N/A
CASEYS GEN STORES INC	COM	147528103	209	1625 SH	SOLE	1625 0 0	N/A
CASTLE BRANDS INC	COM	148435100	16	19000 SH	SOLE	19000 0 0	N/A
CATERPILLAR INC DEL	COM	149123101	36156	283952 SH	SOLE	283952 0 0	N/A
CBL & ASSOC PPTYS INC	COM	124830100	21	11171 SH	SOLE	11171 0 0	N/A
CBOE GLOBAL MARKETS INC	COM	12503M108	4309	44043 SH	SOLE	44043 0 0	N/A
CBOE GLOBAL MARKETS INC	COM	12503M108	66	28200 SH	SOLE	28200 0 0	Put
CBRE CLARION GLOBAL REAL EST	COM	12504G100	445	72236 SH	SOLE	72236 0 0	N/A
CBRE GROUP INC	CL A	12504L109	699	17416 SH	SOLE	17416 0 0	N/A
CBS CORP NEW	CL B	124857202	1370	31338 SH	SOLE	31338 0 0	N/A
CBS CORP NEW	CL B	124857202	49	18000 SH	SOLE	18000 0 0	Call
CDK GLOBAL INC	COM	12508E101	854	17858 SH	SOLE	17858 0 0	N/A
CDN IMPERIAL BK COMM TORONTO	COM	136069101	1707	23199 SH	SOLE	23199 0 0	N/A
CDW CORP	COM	12514G108	11667	144312 SH	SOLE	144312 0 0	N/A
CEDAR REALTY TRUST INC	COM NEW	150602209	137	43641 SH	SOLE	43641 0 0	N/A
CELANESE CORP DEL	COM	150870103	568	6361 SH	SOLE	6361 0 0	N/A
CELCUITY INC	COM	15102K100	975	40626 SH	SOLE	40626 0 0	N/A
CELGENE CORP	COM	151020104	14374	224801 SH	SOLE	224801 0 0	N/A
CELLDEX THERAPEUTICS INC NEW	COM	15117B103	2	28540 SH	SOLE	28540 0 0	N/A
CEMEX SAB DE CV	SPON ADR NEW	151290889	58	12431 SH	SOLE	12431 0 0	N/A
CENTENE CORP DEL	COM	15135B101	11204	96982 SH	SOLE	96982 0 0	N/A
CENTERPOINT ENERGY INC	COM	15189T107	1100	38974 SH	SOLE	38974 0 0	N/A
CENTURYLINK INC	COM	156700106	2897	191415 SH	SOLE	191415 0 0	N/A
CERNER CORP	COM	156782104	7842	149531 SH	SOLE	149531 0 0	N/A
CERUS CORP	COM	157085101	59	11760 SH	SOLE	11760 0 0	N/A
CEVA INC	COM	157210105	2470	112220 SH	SOLE	112220 0 0	N/A
CF INDS HLDGS INC	COM	125269100	509	11636 SH	SOLE	11636 0 0	N/A
CHARLES RIV LABS INTL INC	COM	159864107	1457	12906 SH	SOLE	12906 0 0	N/A
CHART INDS INC	COM PAR $0.01	16115Q308	787	12099 SH	SOLE	12099 0 0	N/A
CHARTER COMMUNICATIONS INC N	CL A	16119P108	5933	20815 SH	SOLE	20815 0 0	N/A
CHECK POINT SOFTWARE TECH LT	ORD	M22465104	7382	72330 SH	SOLE	72330 0 0	N/A
CHEESECAKE FACTORY INC	COM	163072101	215	4936 SH	SOLE	4936 0 0	N/A
CHEMED CORP NEW	COM	16359R103	381	1361 SH	SOLE	1361 0 0	N/A
CHEMICAL FINL CORP	COM	163731102	1077	29426 SH	SOLE	29426 0 0	N/A
CHEMOURS CO	COM	163851108	607	21617 SH	SOLE	21617 0 0	N/A
CHENIERE ENERGY INC	COM NEW	16411R208	1194	20150 SH	SOLE	20150 0 0	N/A
CHENIERE ENERGY PARTNERS LP	COM UNIT	16411Q101	224	6218 SH	SOLE	6218 0 0	N/A
CHESAPEAKE ENERGY CORP	COM	165167107	70	34966 SH	SOLE	34966 0 0	N/A
CHESAPEAKE UTILS CORP	COM	165303108	275	3380 SH	SOLE	3380 0 0	N/A
CHEVRON CORP NEW	COM	166764100	67833	623297 SH	SOLE	623297 0 0	N/A
CHICAGO RIVET & MACH CO	COM	168088102	794	25200 SH	SOLE	25200 0 0	N/A
CHIMERA INVT CORP	COM NEW	16934Q208	214	12040 SH	SOLE	12040 0 0	N/A
CHINA MOBILE LIMITED	SPONSORED ADR	16941M109	3788	78769 SH	SOLE	78769 0 0	N/A
CHINA YUCHAI INTL LTD	COM	G21082105	290	23352 SH	SOLE	23352 0 0	N/A
CHIPOTLE MEXICAN GRILL INC	COM	169656105	870	2022 SH	SOLE	2022 0 0	N/A
CHUBB LIMITED	COM	H1467J104	7670	59336 SH	SOLE	59336 0 0	N/A
CHURCH & DWIGHT INC	COM	171340102	22556	342896 SH	SOLE	342896 0 0	N/A
CIENA CORP	COM NEW	171779309	296	8789 SH	SOLE	8789 0 0	N/A
CIGNA CORP NEW	COM	125523100	7844	41244 SH	SOLE	41244 0 0	N/A
CINCINNATI FINL CORP	COM	172062101	1740	22435 SH	SOLE	22435 0 0	N/A
CINTAS CORP	COM	172908105	868	5164 SH	SOLE	5164 0 0	N/A
CISCO SYS INC	COM	17275R102	65329	1508714 SH	SOLE	1508714 0 0	N/A
CISCO SYS INC	COM	17275R102	35	35000 SH	SOLE	35000 0 0	Call
CITIGROUP INC	COM NEW	172967424	20081	385113 SH	SOLE	385113 0 0	N/A
CITIGROUP INC	COM NEW	172967424	10	3500 SH	SOLE	3500 0 0	Call
CITIZENS FINL GROUP INC	COM	174610105	4534	153085 SH	SOLE	153085 0 0	N/A
CITRIX SYS INC	COM	177376100	1814	17786 SH	SOLE	17786 0 0	N/A
CLEARBRIDGE ENERGY MIDSTRM O	COM	18469P100	3464	443008 SH	SOLE	443008 0 0	N/A
CLOROX CO DEL	COM	189054109	9080	58921 SH	SOLE	58921 0 0	N/A
CLOUDERA INC	COM	18914U100	56	5112 SH	SOLE	5112 0 0	N/A
CLOUDERA INC	COM	18914U100	11	10000 SH	SOLE	10000 0 0	Call
CLOUGH GLOBAL OPPORTUNITIES	SH BEN INT	18914E106	86	10500 SH	SOLE	10500 0 0	N/A
CME GROUP INC	COM CL A	12572Q105	16415	87254 SH	SOLE	87254 0 0	N/A
CME GROUP INC	COM CL A	12572Q105	7	34000 SH	SOLE	34000 0 0	Put
CMS ENERGY CORP	COM	125896100	1725	34723 SH	SOLE	34723 0 0	N/A
CO DIAGNOSTICS INC	COM	189763105	138	94002 SH	SOLE	94002 0 0	N/A
COCA COLA BOTTLING CO CONS	COM	191098102	785	4429 SH	SOLE	4429 0 0	N/A
COCA COLA CO	COM	191216100	91265	1927953 SH	SOLE	1927953 0 0	N/A
COCA COLA EUROPEAN PARTNERS	SHS	G25839104	401	8770 SH	SOLE	8770 0 0	N/A
COGNEX CORP	COM	192422103	374	9530 SH	SOLE	9530 0 0	N/A
COGNIZANT TECHNOLOGY SOLUTIO	CL A	192446102	7576	119312 SH	SOLE	119312 0 0	N/A
COHEN & STEERS CLOSED END OP	COM	19248P106	145	13007 SH	SOLE	13007 0 0	N/A
COHEN & STEERS INFRASTRUCTUR	COM	19248A109	537	27181 SH	SOLE	27181 0 0	N/A
COHEN & STEERS LTD DUR PFD I	COM	19248C105	420	19219 SH	SOLE	19219 0 0	N/A
COHEN & STEERS MLP INC & ENR	COM SHS	19249B106	188	25030 SH	SOLE	25030 0 0	N/A
COHEN & STEERS QUALITY RLTY	COM	19247L106	1291	124517 SH	SOLE	124517 0 0	N/A
COHEN & STEERS REIT & PFD IN	COM	19247X100	287	16053 SH	SOLE	16053 0 0	N/A
COHERUS BIOSCIENCES INC	COM	19249H103	104	11450 SH	SOLE	11450 0 0	N/A
COLGATE PALMOLIVE CO	COM	194162103	23346	391736 SH	SOLE	391736 0 0	N/A
COLONY CAP INC NEW	CL A COM	19626G108	222	46700 SH	SOLE	46700 0 0	N/A
COLUMBIA ETF TR II	EMRG MARKETS ETF	19762B509	8425	413108 SH	SOLE	413108 0 0	N/A
COLUMBIA ETF TR II	INDIA CONSMR ETF	19762B707	4678	105831 SH	SOLE	105831 0 0	N/A
COLUMBIA ETF TR II	INDIA INFRSR ETF	19762B806	4180	349863 SH	SOLE	349863 0 0	N/A
COMCAST CORP NEW	CL A	20030N101	35192	1033645 SH	SOLE	1033645 0 0	N/A
COMERICA INC	COM	200340107	1814	26344 SH	SOLE	26344 0 0	N/A
COMMERCIAL VEH GROUP INC	COM	202608105	58	10000 SH	SOLE	10000 0 0	N/A
COMMUNITY BK SYS INC	COM	203607106	1490	25554 SH	SOLE	25554 0 0	N/A
COMMUNITY HEALTH SYS INC NEW	COM	203668108	74	26000 SH	SOLE	26000 0 0	N/A
CONAGRA BRANDS INC	COM	205887102	7328	343391 SH	SOLE	343391 0 0	N/A
CONATUS PHARMACEUTICALS INC	COM	20600T108	19	10900 SH	SOLE	10900 0 0	N/A
CONDUENT INC	COM	206787103	649	60882 SH	SOLE	60882 0 0	N/A
CONFORMIS INC	COM	20717E101	12	32940 SH	SOLE	32940 0 0	N/A
CONNECTICUT WTR SVC INC	COM	207797101	236	3511 SH	SOLE	3511 0 0	N/A
CONOCOPHILLIPS	COM	20825C104	11482	184811 SH	SOLE	184811 0 0	N/A
CONSOLIDATED EDISON INC	COM	209115104	4802	62776 SH	SOLE	62776 0 0	N/A
CONSOLIDATED WATER CO INC	ORD	G23773107	184	15722 SH	SOLE	15722 0 0	N/A
CONSTELLATION BRANDS INC	CL A	21036P108	2618	16337 SH	SOLE	16337 0 0	N/A
CONSTELLATION BRANDS INC	CL A	21036P108	3	300 SH	SOLE	300 0 0	Call
CONTINENTAL RESOURCES INC	COM	212015101	291	7260 SH	SOLE	7260 0 0	N/A
CONTRAVIR PHARMACEUTICALS IN	COM NEW	21234W202	37	129733 SH	SOLE	129733 0 0	N/A
COOPER COS INC	COM NEW	216648402	931	3624 SH	SOLE	3624 0 0	N/A
COPA HOLDINGS SA	CL A	P31076105	1876	23832 SH	SOLE	23832 0 0	N/A
COPART INC	COM	217204106	1853	38768 SH	SOLE	38768 0 0	N/A
CORE LABORATORIES N V	COM	N22717107	499	8117 SH	SOLE	8117 0 0	N/A
CORECIVIC INC	COM	21871N101	230	12883 SH	SOLE	12883 0 0	N/A
CORESITE RLTY CORP	COM	21870Q105	282	3237 SH	SOLE	3237 0 0	N/A
CORMEDIX INC	COM	21900C100	48	37188 SH	SOLE	37188 0 0	N/A
CORNERSTONE ONDEMAND INC	COM	21925Y103	210	4181 SH	SOLE	4181 0 0	N/A
CORNING INC	COM	219350105	7559	250260 SH	SOLE	250260 0 0	N/A
COSTAR GROUP INC	COM	22160N109	446	1319 SH	SOLE	1319 0 0	N/A
COSTCO WHSL CORP NEW	COM	22160K105	37461	184099 SH	SOLE	184099 0 0	N/A
COSTCO WHSL CORP NEW	COM	22160K105	13	1000 SH	SOLE	1000 0 0	Call
COUPA SOFTWARE INC	COM	22266L106	305	4839 SH	SOLE	4839 0 0	N/A
COUPA SOFTWARE INC	COM	22266L106	74	15700 SH	SOLE	15700 0 0	Call
COVANTA HLDG CORP	COM	22282E102	4183	312568 SH	SOLE	312568 0 0	N/A
CRACKER BARREL OLD CTRY STOR	COM	22410J106	257	1612 SH	SOLE	1612 0 0	N/A
CREDIT ACCEP CORP MICH	COM	225310101	279	731 SH	SOLE	731 0 0	N/A
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	240	22281 SH	SOLE	22281 0 0	N/A
CREDIT SUISSE GROUP	SPONSORED ADR	225401108	2	500 SH	SOLE	500 0 0	Call
CREE INC	COM	225447101	501	11732 SH	SOLE	11732 0 0	N/A
CRISPR THERAPEUTICS AG	NAMEN AKT	H17182108	480	16692 SH	SOLE	16692 0 0	N/A
CRITEO S A	SPONS ADS	226718104	1390	60863 SH	SOLE	60863 0 0	N/A
CRONOS GROUP INC	COM	22717L101	402	38713 SH	SOLE	38713 0 0	N/A
CROWN CASTLE INTL CORP NEW	COM	22822V101	12387	114047 SH	SOLE	114047 0 0	N/A
CSG SYS INTL INC	COM	126349109	361	11386 SH	SOLE	11386 0 0	N/A
CSX CORP	COM	126408103	53	18800 SH	SOLE	18800 0 0	Call
CSX CORP	COM	126408103	9949	160349 SH	SOLE	160349 0 0	N/A
CTRIP COM INTL LTD	AMERICAN DEP SHS	22943F100	3358	124515 SH	SOLE	124515 0 0	N/A
CULLEN FROST BANKERS INC	COM	229899109	257	2932 SH	SOLE	2932 0 0	N/A
CUMMINS INC	COM	231021106	15094	112951 SH	SOLE	112951 0 0	N/A
CURTISS WRIGHT CORP	COM	231561101	4031	39470 SH	SOLE	39470 0 0	N/A
CVS HEALTH CORP	COM	126650100	19996	305035 SH	SOLE	305035 0 0	N/A
CYANOTECH CORP	COM PAR $0.02	232437301	90	29900 SH	SOLE	29900 0 0	N/A
CYBERARK SOFTWARE LTD	SHS	M2682V108	392	5300 SH	SOLE	5300 0 0	N/A
CYMABAY THERAPEUTICS INC	COM	23257D103	94	12020 SH	SOLE	12020 0 0	N/A
CYPRESS SEMICONDUCTOR CORP	COM	232806109	132	10216 SH	SOLE	10216 0 0	N/A
CYPRESS SEMICONDUCTOR CORP	COM	232806109	0	200 SH	SOLE	200 0 0	Call
CYRUSONE INC	COM	23283R100	379	7196 SH	SOLE	7196 0 0	N/A
CYTOKINETICS INC	COM NEW	23282W605	80	12700 SH	SOLE	12700 0 0	N/A
D R HORTON INC	COM	23331A109	489	14086 SH	SOLE	14086 0 0	N/A
DAKTRONICS INC	COM	234264109	378	51150 SH	SOLE	51150 0 0	N/A
DANAHER CORP DEL	COM	235851102	12790	124506 SH	SOLE	124506 0 0	N/A
DANAHER CORP DEL	COM	235851102	0	200 SH	SOLE	200 0 0	Put
DARDEN RESTAURANTS INC	COM	237194105	1792	17942 SH	SOLE	17942 0 0	N/A
DBX ETF TR	XTRACK HRVST CSI	233051879	1427	65050 SH	SOLE	65050 0 0	N/A
DBX ETF TR	XTRACK MSCI CHNA	233051762	6194	218077 SH	SOLE	218077 0 0	N/A
DBX ETF TR	XTRACK MSCI EAFE	233051200	4063	145767 SH	SOLE	145767 0 0	N/A
DBX ETF TR	XTRACK MSCI EMRG	233051101	1095	52398 SH	SOLE	52398 0 0	N/A
DBX ETF TR	XTRACK MSCI EURO	233051697	233	8764 SH	SOLE	8764 0 0	N/A
DBX ETF TR	XTRACK MSCI EURP	233051853	443	17635 SH	SOLE	17635 0 0	N/A
DBX ETF TR	XTRACK MSCI JAPN	233051507	3308	91195 SH	SOLE	91195 0 0	N/A
DBX ETF TR	XTRACK USD HIGH	233051432	1905	41033 SH	SOLE	41033 0 0	N/A
DCP MIDSTREAM LP	COM UT LTD PTN	23311P100	385	14557 SH	SOLE	14557 0 0	N/A
DECKERS OUTDOOR CORP	COM	243537107	290	2265 SH	SOLE	2265 0 0	N/A
DEERE & CO	COM	244199105	15594	104814 SH	SOLE	104814 0 0	N/A
DEERE & CO	COM	244199105	0	300 SH	SOLE	300 0 0	Call
DELL TECHNOLOGIES INC	CL C	24703L202	2219	45607 SH	SOLE	45607 0 0	N/A
DELTA AIR LINES INC DEL	COM NEW	247361702	7630	153235 SH	SOLE	153235 0 0	N/A
DENISON MINES CORP	COM	248356107	14	30800 SH	SOLE	30800 0 0	N/A
DENNYS CORP	COM	24869P104	192	11822 SH	SOLE	11822 0 0	N/A
DENTSPLY SIRONA INC	COM	24906P109	741	19997 SH	SOLE	19997 0 0	N/A
DERMIRA INC	COM	24983L104	92	13063 SH	SOLE	13063 0 0	N/A
DESPEGAR COM CORP	ORD SHS	G27358103	133	10687 SH	SOLE	10687 0 0	N/A
DEUTSCHE BANK AG	NAMEN AKT	D18190898	11	46700 SH	SOLE	46700 0 0	Put
DEUTSCHE BANK AG	NAMEN AKT	D18190898	1	9000 SH	SOLE	9000 0 0	Call
DEUTSCHE BANK AG	NAMEN AKT	D18190898	6	910 SH	SOLE	910 0 0	N/A
DEVON ENERGY CORP NEW	COM	25179M103	654	28903 SH	SOLE	28903 0 0	N/A
DEXCOM INC	COM	252131107	7236	60348 SH	SOLE	60348 0 0	N/A
DHX MEDIA LTD	COM VAR VTG	252406152	20	12000 SH	SOLE	12000 0 0	N/A
DIAGEO P L C	SPON ADR NEW	25243Q205	8632	60969 SH	SOLE	60969 0 0	N/A
DIAMONDBACK ENERGY INC	COM	25278X109	411	4403 SH	SOLE	4403 0 0	N/A
DICKS SPORTING GOODS INC	COM	253393102	1573	50379 SH	SOLE	50379 0 0	N/A
DIEBOLD NXDF INC	COM	253651103	54	22016 SH	SOLE	22016 0 0	N/A
DIGITAL RLTY TR INC	COM	253868103	11889	111533 SH	SOLE	111533 0 0	N/A
DIREXION SHS ETF TR	DL FTSE BLL 3X	25459W771	315	18110 SH	SOLE	18110 0 0	N/A
DIREXION SHS ETF TR	DLY S&P500 BR 3X	25460E885	456	14724 SH	SOLE	14724 0 0	N/A
DIREXION SHS ETF TR	NAS100 EQL WGT	25459Y207	455	11457 SH	SOLE	11457 0 0	N/A
DISCOVER FINL SVCS	COM	254709108	2620	44431 SH	SOLE	44431 0 0	N/A
DISCOVERY INC	COM SER A	25470F104	363	14604 SH	SOLE	14604 0 0	N/A
DISNEY WALT CO	COM DISNEY	254687106	64646	589783 SH	SOLE	589783 0 0	N/A
DISNEY WALT CO	COM DISNEY	254687106	88	17500 SH	SOLE	17500 0 0	Call
DIVIDEND & INCOME FUND	COM NEW	25538A204	785	82337 SH	SOLE	82337 0 0	N/A
DNP SELECT INCOME FD	COM	23325P104	417	40163 SH	SOLE	40163 0 0	N/A
DOCUSIGN INC	COM	256163106	672	16779 SH	SOLE	16779 0 0	N/A
DOLBY LABORATORIES INC	COM	25659T107	399	6551 SH	SOLE	6551 0 0	N/A
DOLLAR GEN CORP NEW	COM	256677105	9353	86753 SH	SOLE	86753 0 0	N/A
DOLLAR TREE INC	COM	256746108	3022	33493 SH	SOLE	33493 0 0	N/A
DOMINION ENERGY INC	COM	25746U109	5902	82448 SH	SOLE	82448 0 0	N/A
DOMINION ENERGY MIDSTRM PRTN	COM UT REP LTD	257454108	543	30110 SH	SOLE	30110 0 0	N/A
DONALDSON INC	COM	257651109	872	20142 SH	SOLE	20142 0 0	N/A
DORIAN LPG LTD	SHS USD	Y2106R110	6531	1119989 SH	SOLE	1119989 0 0	N/A
DOUBLELINE INCOME SOLUTIONS	COM	258622109	453	26182 SH	SOLE	26182 0 0	N/A
DOUBLELINE OPPORTUNISTIC CR	COM	258623107	1744	91990 SH	SOLE	91990 0 0	N/A
DOVER CORP	COM	260003108	4293	60567 SH	SOLE	60567 0 0	N/A
DOWDUPONT INC	COM	26078J100	41073	768319 SH	SOLE	768319 0 0	N/A
DOWDUPONT INC	COM	26078J100	126	83700 SH	SOLE	83700 0 0	Put
DR REDDYS LABS LTD	ADR	256135203	305	8131 SH	SOLE	8131 0 0	N/A
DREYFUS STRATEGIC MUNS INC	COM	261932107	88	12217 SH	SOLE	12217 0 0	N/A
DTE ENERGY CO	COM	233331107	1386	12601 SH	SOLE	12601 0 0	N/A
DUKE ENERGY CORP NEW	COM NEW	26441C204	25216	292245 SH	SOLE	292245 0 0	N/A
DUN & BRADSTREET CORP DEL NE	COM	26483E100	438	3071 SH	SOLE	3071 0 0	N/A
DUNKIN BRANDS GROUP INC	COM	265504100	319	4983 SH	SOLE	4983 0 0	N/A
DXC TECHNOLOGY CO	COM	23355L106	293	5626 SH	SOLE	5626 0 0	N/A
EAGLE BANCORP INC MD	COM	268948106	2296	47160 SH	SOLE	47160 0 0	N/A
EAST WEST BANCORP INC	COM	27579R104	335	7738 SH	SOLE	7738 0 0	N/A
EASTERN CO	COM	276317104	232	9600 SH	SOLE	9600 0 0	N/A
EASTMAN CHEM CO	COM	277432100	618	8475 SH	SOLE	8475 0 0	N/A
EATON CORP PLC	SHS	G29183103	9296	135756 SH	SOLE	135756 0 0	N/A
EATON VANCE CORP	COM NON VTG	278265103	4365	122882 SH	SOLE	122882 0 0	N/A
EATON VANCE ENH EQTY INC FD	COM	278277108	151	10193 SH	SOLE	10193 0 0	N/A
EATON VANCE ENHANCED EQ INC	COM	278274105	475	36779 SH	SOLE	36779 0 0	N/A
EATON VANCE LTD DUR INCOME F	COM	27828H105	2369	198417 SH	SOLE	198417 0 0	N/A
EATON VANCE MUN BD FD	COM	27827X101	280	24934 SH	SOLE	24934 0 0	N/A
EATON VANCE MUNI INCOME TRUS	SH BEN INT	27826U108	120	10524 SH	SOLE	10524 0 0	N/A
EATON VANCE NATL MUN OPPORT	COM SHS	27829L105	524	28188 SH	SOLE	28188 0 0	N/A
EATON VANCE NEW YORK MUN BD	COM	27827Y109	169	15401 SH	SOLE	15401 0 0	N/A
EATON VANCE TAX ADVT DIV INC	COM	27828G107	685	36130 SH	SOLE	36130 0 0	N/A
EATON VANCE TAX MNGD GBL DV	COM	27829F108	1138	152074 SH	SOLE	152074 0 0	N/A
EATON VANCE TX ADV GLBL DIV	COM	27828S101	417	30757 SH	SOLE	30757 0 0	N/A
EATON VANCE TX MGD DIV EQ IN	COM	27828N102	3956	388345 SH	SOLE	388345 0 0	N/A
EATON VANCE TX MNG BY WRT OP	COM	27828Y108	317	23513 SH	SOLE	23513 0 0	N/A
EATON VANCE TXMGD GL BUYWR O	COM	27829C105	688	72071 SH	SOLE	72071 0 0	N/A
EBAY INC	COM	278642103	1087	38705 SH	SOLE	38705 0 0	N/A
ECA MARCELLUS TR I	COM UNIT	26827L109	82	55000 SH	SOLE	55000 0 0	N/A
ECOLAB INC	COM	278865100	4392	29771 SH	SOLE	29771 0 0	N/A
EDISON INTL	COM	281020107	1080	19048 SH	SOLE	19048 0 0	N/A
EDWARDS LIFESCIENCES CORP	COM	28176E108	4532	29594 SH	SOLE	29594 0 0	N/A
EL POLLO LOCO HLDGS INC	COM	268603107	417	27244 SH	SOLE	27244 0 0	N/A
ELANCO ANIMAL HEALTH INC	COM	28414H103	317	9971 SH	SOLE	9971 0 0	N/A
ELECTRONIC ARTS INC	COM	285512109	410	5200 SH	SOLE	5200 0 0	N/A
ELECTRONIC ARTS INC	COM	285512109	2	200 SH	SOLE	200 0 0	Call
ELECTRONICS FOR IMAGING INC	NOTE 0.750% 9/0	286082AC6	19	20000 PRN	SOLE	20000 0 0	N/A
ELLSWORTH GRWTH AND INCOME L	COM	289074106	512	59339 SH	SOLE	59339 0 0	N/A
EMBRAER S A	SP ADR REP 4 COM	29082A107	205	9223 SH	SOLE	9223 0 0	N/A
EMERSON ELEC CO	COM	291011104	19615	328063 SH	SOLE	328063 0 0	N/A
ENBRIDGE INC	COM	29250N105	8445	271433 SH	SOLE	271433 0 0	N/A
ENCANA CORP	COM	292505104	71	11982 SH	SOLE	11982 0 0	N/A
ENCOMPASS HEALTH CORP	COM	29261A100	431	7026 SH	SOLE	7026 0 0	N/A
ENDEAVOUR SILVER CORP	COM	29258Y103	34	15200 SH	SOLE	15200 0 0	N/A
ENERGY TRANSFER LP	COM UT LTD PTN	29273V100	46178	3496543 SH	SOLE	3496543 0 0	N/A
ENERPLUS CORP	COM	292766102	322	41590 SH	SOLE	41590 0 0	N/A
ENLINK MIDSTREAM PARTNERS LP	COM UNIT REP LTD	29336U107	2384	217158 SH	SOLE	217158 0 0	N/A
ENSERVCO CORP	COM	29358Y102	139	375212 SH	SOLE	375212 0 0	N/A
ENTEGRIS INC	COM	29362U104	212	7593 SH	SOLE	7593 0 0	N/A
ENTERGY CORP NEW	COM	29364G103	1124	13084 SH	SOLE	13084 0 0	N/A
ENTERPRISE PRODS PARTNERS L	COM	293792107	70620	2871319 SH	SOLE	2871319 0 0	N/A
EOG RES INC	COM	26875P101	7690	88221 SH	SOLE	88221 0 0	N/A
EPR PPTYS	COM SH BEN INT	26884U109	223	3509 SH	SOLE	3509 0 0	N/A
EQGP HOLDINGS LP	COM UNIT REP	26885J103	665	33333 SH	SOLE	33333 0 0	N/A
EQM MIDSTREAM PARTNERS LP	UNIT LTD PARTN	26885B100	3999	92570 SH	SOLE	92570 0 0	N/A
EQT CORP	COM	26884L109	3086	163318 SH	SOLE	163318 0 0	N/A
EQUIFAX INC	COM	294429105	1556	16709 SH	SOLE	16709 0 0	N/A
EQUINIX INC	COM PAR $0.001	29444U700	512	1457 SH	SOLE	1457 0 0	N/A
EQUINOR ASA	SPONSORED ADR	29446M102	446	21283 SH	SOLE	21283 0 0	N/A
EQUITRANS MIDSTREAM CORPORAT	COM	294600101	1675	84179 SH	SOLE	84179 0 0	N/A
EQUITY LIFESTYLE PPTYS INC	COM	29472R108	213	2198 SH	SOLE	2198 0 0	N/A
EQUITY RESIDENTIAL	SH BEN INT	29476L107	362	5494 SH	SOLE	5494 0 0	N/A
